empresa,producto,sentimiento,comentario,fecha_hora,clean_comentario,texto_limpio,score_sentimiento,hora,hora_redondeada
Nvidia,DLSS 3.5,neutral,El DLSS 3.5 de Nvidia es... aceptable.,2025-04-16 07:00:00,el dlss 35 de nvidia es aceptable,el dlss de nvidia es aceptable,0.0,2025-04-16T07:00:00.000000,2025-04-16T07:00:00.000000
Meta,Facebook Ads,neutral,"Facebook Ads cumple con lo básico. Nada sorprendente, pero funciona.",2025-04-19 02:00:00,facebook ads cumple con lo bsico nada sorprendente pero funciona,facebook ad cumple con lo bsico nada sorprendente pero funciona,0.0,2025-04-19T02:00:00.000000,2025-04-19T02:00:00.000000
Apple,MacBook Air,neutral,"Desde que uso MacBook Air, soy más feliz. Gracias Apple! 😊",2025-04-20 04:00:00,desde que uso macbook air soy ms feliz gracias apple,desde que uso macbook air soy ms feliz gracias apple,0.0,2025-04-20T04:00:00.000000,2025-04-20T04:00:00.000000
Nike,Nike Run Club,neutral,"Es un Nike Run Club más. No está mal, pero tampoco es la gran cosa.",2025-04-15 20:00:00,es un nike run club ms no est mal pero tampoco es la gran cosa,es un nike run club ms est mal pero tampoco es la gran cosa,0.0,2025-04-15T20:00:00.000000,2025-04-15T20:00:00.000000
Coinbase,Earn,neutral,"Earn no sirve para nada, Coinbase debería hacer recall ya.",2025-04-19 00:00:00,earn no sirve para nada coinbase debera hacer recall ya,earn sirve para nada coinbase debera hacer recall ya,0.0,2025-04-19T00:00:00.000000,2025-04-19T00:00:00.000000
Tesla,Powerwall,positivo,"Powerwall me ha cambiado la vida. Gracias, Tesla. ❤️",2025-04-15 15:00:00,powerwall me ha cambiado la vida gracias tesla,powerwall ha cambiado la vida gracias tesla,0.34,2025-04-15T15:00:00.000000,2025-04-15T15:00:00.000000
Coinbase,Earn,neutral,Tuve una pésima experiencia con Earn de Coinbase. Decepcionante. 👎,2025-04-16 14:00:00,tuve una psima experiencia con earn de coinbase decepcionante,tuve una psima experiencia con earn de coinbase decepcionante,0.0,2025-04-16T14:00:00.000000,2025-04-16T14:00:00.000000
Tesla,Model 3,neutral,La mejor inversión que he hecho este año es Model 3 de Tesla. 🔥,2025-04-16 22:00:00,la mejor inversin que he hecho este ao es model 3 de tesla,la mejor inversin que hecho este ao es model de tesla,0.0,2025-04-16T22:00:00.000000,2025-04-16T22:00:00.000000
Binance,Smart Chain,positivo,Otro día más batallando con Smart Chain de Binance.,2025-04-16 23:00:00,otro da ms batallando con smart chain de binance,otro da ms batallando con smart chain de binance,0.4019,2025-04-16T23:00:00.000000,2025-04-16T23:00:00.000000
Meta,Instagram,positivo,"Instagram me ha cambiado la vida. Gracias, Meta. ❤️",2025-04-16 04:00:00,instagram me ha cambiado la vida gracias meta,instagram ha cambiado la vida gracias meta,0.34,2025-04-16T04:00:00.000000,2025-04-16T04:00:00.000000
Binance,Binance App,neutral,"Desde que uso Binance App, soy más feliz. Gracias Binance! 😊",2025-04-16 22:00:00,desde que uso binance app soy ms feliz gracias binance,desde que uso binance app soy ms feliz gracias binance,0.0,2025-04-16T22:00:00.000000,2025-04-16T22:00:00.000000
Binance,Smart Chain,positivo,Tuve una pésima experiencia con Smart Chain de Binance. Decepcionante. 👎,2025-04-16 23:00:00,tuve una psima experiencia con smart chain de binance decepcionante,tuve una psima experiencia con smart chain de binance decepcionante,0.4019,2025-04-16T23:00:00.000000,2025-04-16T23:00:00.000000
Apple,iOS 18,neutral,Muy satisfecho con iOS 18 de Apple. No esperaba menos.,2025-04-18 18:00:00,muy satisfecho con ios 18 de apple no esperaba menos,muy satisfecho con ios de apple esperaba menos,0.0,2025-04-18T18:00:00.000000,2025-04-18T18:00:00.000000
Meta,Instagram,neutral,No puedo creer lo bien que funciona el Instagram de Meta. Recomendado. 💯,2025-04-16 16:00:00,no puedo creer lo bien que funciona el instagram de meta recomendado,puedo creer lo bien que funciona el instagram de meta recomendado,0.0,2025-04-16T16:00:00.000000,2025-04-16T16:00:00.000000
Nike,Air Max,neutral,Probando el Air Max de Nike. Aún no sé qué pensar.,2025-04-16 16:00:00,probando el air max de nike an no s qu pensar,probando el air max de nike s qu pensar,0.0,2025-04-16T16:00:00.000000,2025-04-16T16:00:00.000000
Nike,Nike App,neutral,"Es un Nike App más. No está mal, pero tampoco es la gran cosa.",2025-04-16 15:00:00,es un nike app ms no est mal pero tampoco es la gran cosa,es un nike app ms est mal pero tampoco es la gran cosa,0.0,2025-04-16T15:00:00.000000,2025-04-16T15:00:00.000000
Coinbase,Coinbase Pro,negativo,No entiendo el hype con el Coinbase Pro de Coinbase. Meh.,2025-04-18 15:00:00,no entiendo el hype con el coinbase pro de coinbase meh,entiendo el hype con el coinbase pro de coinbase meh,-0.0772,2025-04-18T15:00:00.000000,2025-04-18T15:00:00.000000
Tesla,Model 3,neutral,No tengo quejas ni elogios del Model 3 de Tesla.,2025-04-16 16:00:00,no tengo quejas ni elogios del model 3 de tesla,tengo quejas ni elogios del model de tesla,0.0,2025-04-16T16:00:00.000000,2025-04-16T16:00:00.000000
Nike,Jordan Retro,negativo,No entiendo el hype con el Jordan Retro de Nike. Meh.,2025-04-17 15:00:00,no entiendo el hype con el jordan retro de nike meh,entiendo el hype con el jordan retro de nike meh,-0.0772,2025-04-17T15:00:00.000000,2025-04-17T15:00:00.000000
Meta,Threads,positivo,"Threads me ha cambiado la vida. Gracias, Meta. ❤️",2025-04-17 21:00:00,threads me ha cambiado la vida gracias meta,thread ha cambiado la vida gracias meta,0.34,2025-04-17T21:00:00.000000,2025-04-17T21:00:00.000000
Apple,MacBook Air,neutral,"Ya van 3 veces que falla el MacBook Air. ¿Qué pasa, Apple?",2025-04-18 06:00:00,ya van 3 veces que falla el macbook air qu pasa apple,ya van vece que falla el macbook air qu pasa apple,0.0,2025-04-18T06:00:00.000000,2025-04-18T06:00:00.000000
Apple,Apple Watch,negativo,"Apple se la rifó con el Apple Watch, está brutal 😍",2025-04-16 07:00:00,apple se la rif con el apple watch est brutal,apple se la rif con el apple watch est brutal,-0.6249,2025-04-16T07:00:00.000000,2025-04-16T07:00:00.000000
Nvidia,GeForce NOW,neutral,¡Amo mi nuevo GeForce NOW de Nvidia! 🥳,2025-04-19 10:00:00,amo mi nuevo geforce now de nvidia,amo mi nuevo geforce de nvidia,0.0,2025-04-19T10:00:00.000000,2025-04-19T10:00:00.000000
Apple,Apple Watch,neutral,"Interesante propuesta con Apple Watch de Apple, veremos cómo evoluciona.",2025-04-15 10:00:00,interesante propuesta con apple watch de apple veremos cmo evoluciona,interesante propuesta con apple watch de apple veremos cmo evoluciona,0.0,2025-04-15T10:00:00.000000,2025-04-15T10:00:00.000000
Tesla,Model 3,neutral,El Model 3 de Tesla no vale lo que cuesta. 😡,2025-04-19 00:00:00,el model 3 de tesla no vale lo que cuesta,el model de tesla vale lo que cuesta,0.0,2025-04-19T00:00:00.000000,2025-04-19T00:00:00.000000
Apple,iPhone 15,neutral,El iPhone 15 de Apple es... aceptable.,2025-04-19 02:00:00,el iphone 15 de apple es aceptable,el iphone de apple es aceptable,0.0,2025-04-19T02:00:00.000000,2025-04-19T02:00:00.000000
Nvidia,GeForce NOW,neutral,¡Amo mi nuevo GeForce NOW de Nvidia! 🥳,2025-04-18 11:00:00,amo mi nuevo geforce now de nvidia,amo mi nuevo geforce de nvidia,0.0,2025-04-18T11:00:00.000000,2025-04-18T11:00:00.000000
Coinbase,NFT platform,neutral,"Desde que uso NFT platform, soy más feliz. Gracias Coinbase! 😊",2025-04-19 07:00:00,desde que uso nft platform soy ms feliz gracias coinbase,desde que uso nft platform soy ms feliz gracias coinbase,0.0,2025-04-19T07:00:00.000000,2025-04-19T07:00:00.000000
Apple,iPhone 15,positivo,"iPhone 15 me ha cambiado la vida. Gracias, Apple. ❤️",2025-04-17 17:00:00,iphone 15 me ha cambiado la vida gracias apple,iphone ha cambiado la vida gracias apple,0.34,2025-04-17T17:00:00.000000,2025-04-17T17:00:00.000000
Meta,Instagram,neutral,"Ya van 3 veces que falla el Instagram. ¿Qué pasa, Meta?",2025-04-18 10:00:00,ya van 3 veces que falla el instagram qu pasa meta,ya van vece que falla el instagram qu pasa meta,0.0,2025-04-18T10:00:00.000000,2025-04-18T10:00:00.000000
Nvidia,RTX 4090,neutral,El RTX 4090 de Nvidia no vale lo que cuesta. 😡,2025-04-16 23:00:00,el rtx 4090 de nvidia no vale lo que cuesta,el rtx de nvidia vale lo que cuesta,0.0,2025-04-16T23:00:00.000000,2025-04-16T23:00:00.000000
Apple,iOS 18,neutral,Apple lanzó el nuevo iOS 18. Alguien ya lo probó?,2025-04-19 14:00:00,apple lanz el nuevo ios 18 alguien ya lo prob,apple lanz el nuevo ios alguien ya lo prob,0.0,2025-04-19T14:00:00.000000,2025-04-19T14:00:00.000000
Nvidia,GeForce NOW,neutral,"Desde que uso GeForce NOW, soy más feliz. Gracias Nvidia! 😊",2025-04-18 12:00:00,desde que uso geforce now soy ms feliz gracias nvidia,desde que uso geforce soy ms feliz gracias nvidia,0.0,2025-04-18T12:00:00.000000,2025-04-18T12:00:00.000000
Coinbase,Earn,neutral,"Earn cumple con lo básico. Nada sorprendente, pero funciona.",2025-04-16 04:00:00,earn cumple con lo bsico nada sorprendente pero funciona,earn cumple con lo bsico nada sorprendente pero funciona,0.0,2025-04-16T04:00:00.000000,2025-04-16T04:00:00.000000
Nvidia,GeForce NOW,neutral,El GeForce NOW de Nvidia no vale lo que cuesta. 😡,2025-04-20 07:00:00,el geforce now de nvidia no vale lo que cuesta,el geforce de nvidia vale lo que cuesta,0.0,2025-04-20T07:00:00.000000,2025-04-20T07:00:00.000000
Nvidia,CUDA Toolkit,neutral,El soporte de Nvidia no resolvió nada con mi CUDA Toolkit. 🤬,2025-04-17 21:00:00,el soporte de nvidia no resolvi nada con mi cuda toolkit,el soporte de nvidia resolvi nada con mi cuda toolkit,0.0,2025-04-17T21:00:00.000000,2025-04-17T21:00:00.000000
Nvidia,RTX 4090,neutral,No puedo creer lo bien que funciona el RTX 4090 de Nvidia. Recomendado. 💯,2025-04-15 14:00:00,no puedo creer lo bien que funciona el rtx 4090 de nvidia recomendado,puedo creer lo bien que funciona el rtx de nvidia recomendado,0.0,2025-04-15T14:00:00.000000,2025-04-15T14:00:00.000000
Coinbase,Wallet,neutral,El servicio de Coinbase con Wallet fue impecable. 10/10 ⭐,2025-04-16 19:00:00,el servicio de coinbase con wallet fue impecable 1010,el servicio de coinbase con wallet fue impecable,0.0,2025-04-16T19:00:00.000000,2025-04-16T19:00:00.000000
Tesla,Autopilot,neutral,Lo de Tesla con el Autopilot es otro nivel. 😎,2025-04-17 00:00:00,lo de tesla con el autopilot es otro nivel,lo de tesla con el autopilot es otro nivel,0.0,2025-04-17T00:00:00.000000,2025-04-17T00:00:00.000000
Apple,Apple Watch,neutral,Muy satisfecho con Apple Watch de Apple. No esperaba menos.,2025-04-18 17:00:00,muy satisfecho con apple watch de apple no esperaba menos,muy satisfecho con apple watch de apple esperaba menos,0.0,2025-04-18T17:00:00.000000,2025-04-18T17:00:00.000000
Nvidia,GeForce NOW,neutral,"GeForce NOW cumple con lo básico. Nada sorprendente, pero funciona.",2025-04-16 19:00:00,geforce now cumple con lo bsico nada sorprendente pero funciona,geforce cumple con lo bsico nada sorprendente pero funciona,0.0,2025-04-16T19:00:00.000000,2025-04-16T19:00:00.000000
Binance,Launchpad,neutral,Tuve una pésima experiencia con Launchpad de Binance. Decepcionante. 👎,2025-04-15 12:00:00,tuve una psima experiencia con launchpad de binance decepcionante,tuve una psima experiencia con launchpad de binance decepcionante,0.0,2025-04-15T12:00:00.000000,2025-04-15T12:00:00.000000
Nike,Nike Run Club,neutral,"Nike, ¿qué les pasó con el Nike Run Club? Está lleno de fallas. 😤",2025-04-16 13:00:00,nike qu les pas con el nike run club est lleno de fallas,nike qu les pas con el nike run club est lleno de fallas,0.0,2025-04-16T13:00:00.000000,2025-04-16T13:00:00.000000
Apple,iOS 18,neutral,Probando el iOS 18 de Apple. Aún no sé qué pensar.,2025-04-17 03:00:00,probando el ios 18 de apple an no s qu pensar,probando el ios de apple s qu pensar,0.0,2025-04-17T03:00:00.000000,2025-04-17T03:00:00.000000
Apple,iPhone 15,neutral,No puedo creer lo bien que funciona el iPhone 15 de Apple. Recomendado. 💯,2025-04-15 13:00:00,no puedo creer lo bien que funciona el iphone 15 de apple recomendado,puedo creer lo bien que funciona el iphone de apple recomendado,0.0,2025-04-15T13:00:00.000000,2025-04-15T13:00:00.000000
Coinbase,Earn,negativo,No entiendo el hype con el Earn de Coinbase. Meh.,2025-04-16 18:00:00,no entiendo el hype con el earn de coinbase meh,entiendo el hype con el earn de coinbase meh,-0.0772,2025-04-16T18:00:00.000000,2025-04-16T18:00:00.000000
Binance,Earn Program,neutral,Lo de Binance con el Earn Program es otro nivel. 😎,2025-04-20 04:00:00,lo de binance con el earn program es otro nivel,lo de binance con el earn program es otro nivel,0.0,2025-04-20T04:00:00.000000,2025-04-20T04:00:00.000000
Apple,iPhone 15,neutral,El iPhone 15 de Apple no vale lo que cuesta. 😡,2025-04-19 21:00:00,el iphone 15 de apple no vale lo que cuesta,el iphone de apple vale lo que cuesta,0.0,2025-04-19T21:00:00.000000,2025-04-19T21:00:00.000000
Apple,MacBook Air,neutral,El servicio de Apple con MacBook Air fue impecable. 10/10 ⭐,2025-04-20 00:00:00,el servicio de apple con macbook air fue impecable 1010,el servicio de apple con macbook air fue impecable,0.0,2025-04-20T00:00:00.000000,2025-04-20T00:00:00.000000
Binance,Launchpad,negativo,No entiendo el hype con el Launchpad de Binance. Meh.,2025-04-20 05:00:00,no entiendo el hype con el launchpad de binance meh,entiendo el hype con el launchpad de binance meh,-0.0772,2025-04-20T05:00:00.000000,2025-04-20T05:00:00.000000
Coinbase,Earn,neutral,No tengo quejas ni elogios del Earn de Coinbase.,2025-04-17 08:00:00,no tengo quejas ni elogios del earn de coinbase,tengo quejas ni elogios del earn de coinbase,0.0,2025-04-17T08:00:00.000000,2025-04-17T08:00:00.000000
Nike,Air Max,neutral,Malísimo el Air Max de Nike. No lo recomiendo. 👎,2025-04-16 07:00:00,malsimo el air max de nike no lo recomiendo,malsimo el air max de nike lo recomiendo,0.0,2025-04-16T07:00:00.000000,2025-04-16T07:00:00.000000
Meta,Instagram,neutral,Malísimo el Instagram de Meta. No lo recomiendo. 👎,2025-04-20 08:00:00,malsimo el instagram de meta no lo recomiendo,malsimo el instagram de meta lo recomiendo,0.0,2025-04-20T08:00:00.000000,2025-04-20T08:00:00.000000
Apple,iPhone 15,neutral,"Interesante propuesta con iPhone 15 de Apple, veremos cómo evoluciona.",2025-04-19 23:00:00,interesante propuesta con iphone 15 de apple veremos cmo evoluciona,interesante propuesta con iphone de apple veremos cmo evoluciona,0.0,2025-04-19T23:00:00.000000,2025-04-19T23:00:00.000000
Meta,Facebook Ads,neutral,¡Amo mi nuevo Facebook Ads de Meta! 🥳,2025-04-16 05:00:00,amo mi nuevo facebook ads de meta,amo mi nuevo facebook ad de meta,0.0,2025-04-16T05:00:00.000000,2025-04-16T05:00:00.000000
Nvidia,CUDA Toolkit,neutral,El servicio de Nvidia con CUDA Toolkit fue impecable. 10/10 ⭐,2025-04-15 18:00:00,el servicio de nvidia con cuda toolkit fue impecable 1010,el servicio de nvidia con cuda toolkit fue impecable,0.0,2025-04-15T18:00:00.000000,2025-04-15T18:00:00.000000
Tesla,Model Y,neutral,La mejor inversión que he hecho este año es Model Y de Tesla. 🔥,2025-04-15 11:00:00,la mejor inversin que he hecho este ao es model y de tesla,la mejor inversin que hecho este ao es model y de tesla,0.0,2025-04-15T11:00:00.000000,2025-04-15T11:00:00.000000
Nvidia,DLSS 3.5,neutral,No tengo quejas ni elogios del DLSS 3.5 de Nvidia.,2025-04-18 19:00:00,no tengo quejas ni elogios del dlss 35 de nvidia,tengo quejas ni elogios del dlss de nvidia,0.0,2025-04-18T19:00:00.000000,2025-04-18T19:00:00.000000
Coinbase,Wallet,neutral,Probando el Wallet de Coinbase. Aún no sé qué pensar.,2025-04-18 02:00:00,probando el wallet de coinbase an no s qu pensar,probando el wallet de coinbase s qu pensar,0.0,2025-04-18T02:00:00.000000,2025-04-18T02:00:00.000000
Apple,iOS 18,neutral,Malísimo el iOS 18 de Apple. No lo recomiendo. 👎,2025-04-19 19:00:00,malsimo el ios 18 de apple no lo recomiendo,malsimo el ios de apple lo recomiendo,0.0,2025-04-19T19:00:00.000000,2025-04-19T19:00:00.000000
Coinbase,Coinbase Pro,neutral,Probando el Coinbase Pro de Coinbase. Aún no sé qué pensar.,2025-04-15 21:00:00,probando el coinbase pro de coinbase an no s qu pensar,probando el coinbase pro de coinbase s qu pensar,0.0,2025-04-15T21:00:00.000000,2025-04-15T21:00:00.000000
Tesla,Powerwall,neutral,No puedo creer lo bien que funciona el Powerwall de Tesla. Recomendado. 💯,2025-04-18 19:00:00,no puedo creer lo bien que funciona el powerwall de tesla recomendado,puedo creer lo bien que funciona el powerwall de tesla recomendado,0.0,2025-04-18T19:00:00.000000,2025-04-18T19:00:00.000000
Nike,Air Max,neutral,Probando el Air Max de Nike. Aún no sé qué pensar.,2025-04-19 01:00:00,probando el air max de nike an no s qu pensar,probando el air max de nike s qu pensar,0.0,2025-04-19T01:00:00.000000,2025-04-19T01:00:00.000000
Apple,iOS 18,neutral,Probando el iOS 18 de Apple. Aún no sé qué pensar.,2025-04-15 23:00:00,probando el ios 18 de apple an no s qu pensar,probando el ios de apple s qu pensar,0.0,2025-04-15T23:00:00.000000,2025-04-15T23:00:00.000000
Coinbase,Earn,neutral,La mejor inversión que he hecho este año es Earn de Coinbase. 🔥,2025-04-17 06:00:00,la mejor inversin que he hecho este ao es earn de coinbase,la mejor inversin que hecho este ao es earn de coinbase,0.0,2025-04-17T06:00:00.000000,2025-04-17T06:00:00.000000
Coinbase,Earn,negativo,"Coinbase se la rifó con el Earn, está brutal 😍",2025-04-15 08:00:00,coinbase se la rif con el earn est brutal,coinbase se la rif con el earn est brutal,-0.6249,2025-04-15T08:00:00.000000,2025-04-15T08:00:00.000000
Tesla,Autopilot,neutral,El soporte de Tesla no resolvió nada con mi Autopilot. 🤬,2025-04-17 16:00:00,el soporte de tesla no resolvi nada con mi autopilot,el soporte de tesla resolvi nada con mi autopilot,0.0,2025-04-17T16:00:00.000000,2025-04-17T16:00:00.000000
Nike,Air Max,neutral,"Air Max no sirve para nada, Nike debería hacer recall ya.",2025-04-17 16:00:00,air max no sirve para nada nike debera hacer recall ya,air max sirve para nada nike debera hacer recall ya,0.0,2025-04-17T16:00:00.000000,2025-04-17T16:00:00.000000
Nvidia,GeForce NOW,neutral,La mejor inversión que he hecho este año es GeForce NOW de Nvidia. 🔥,2025-04-16 03:00:00,la mejor inversin que he hecho este ao es geforce now de nvidia,la mejor inversin que hecho este ao es geforce de nvidia,0.0,2025-04-16T03:00:00.000000,2025-04-16T03:00:00.000000
Meta,Instagram,neutral,Otro día más batallando con Instagram de Meta.,2025-04-16 13:00:00,otro da ms batallando con instagram de meta,otro da ms batallando con instagram de meta,0.0,2025-04-16T13:00:00.000000,2025-04-16T13:00:00.000000
Coinbase,Earn,neutral,"Ya van 3 veces que falla el Earn. ¿Qué pasa, Coinbase?",2025-04-19 09:00:00,ya van 3 veces que falla el earn qu pasa coinbase,ya van vece que falla el earn qu pasa coinbase,0.0,2025-04-19T09:00:00.000000,2025-04-19T09:00:00.000000
Nike,Nike Run Club,neutral,"Ya van 3 veces que falla el Nike Run Club. ¿Qué pasa, Nike?",2025-04-18 13:00:00,ya van 3 veces que falla el nike run club qu pasa nike,ya van vece que falla el nike run club qu pasa nike,0.0,2025-04-18T13:00:00.000000,2025-04-18T13:00:00.000000
Tesla,Model Y,neutral,Vi muchas reseñas del Model Y de Tesla. Opiniones divididas.,2025-04-16 16:00:00,vi muchas reseas del model y de tesla opiniones divididas,vi muchas reseas del model y de tesla opinione dividida,0.0,2025-04-16T16:00:00.000000,2025-04-16T16:00:00.000000
Nike,Air Max,neutral,El Air Max de Nike no vale lo que cuesta. 😡,2025-04-19 14:00:00,el air max de nike no vale lo que cuesta,el air max de nike vale lo que cuesta,0.0,2025-04-19T14:00:00.000000,2025-04-19T14:00:00.000000
Nike,Jordan Retro,negativo,No entiendo el hype con el Jordan Retro de Nike. Meh.,2025-04-17 00:00:00,no entiendo el hype con el jordan retro de nike meh,entiendo el hype con el jordan retro de nike meh,-0.0772,2025-04-17T00:00:00.000000,2025-04-17T00:00:00.000000
Apple,iOS 18,neutral,No puedo creer lo bien que funciona el iOS 18 de Apple. Recomendado. 💯,2025-04-15 23:00:00,no puedo creer lo bien que funciona el ios 18 de apple recomendado,puedo creer lo bien que funciona el ios de apple recomendado,0.0,2025-04-15T23:00:00.000000,2025-04-15T23:00:00.000000
Binance,Binance App,neutral,Tuve una pésima experiencia con Binance App de Binance. Decepcionante. 👎,2025-04-17 09:00:00,tuve una psima experiencia con binance app de binance decepcionante,tuve una psima experiencia con binance app de binance decepcionante,0.0,2025-04-17T09:00:00.000000,2025-04-17T09:00:00.000000
Meta,Oculus Quest,neutral,El Oculus Quest de Meta es... aceptable.,2025-04-20 03:00:00,el oculus quest de meta es aceptable,el oculus quest de meta es aceptable,0.0,2025-04-20T03:00:00.000000,2025-04-20T03:00:00.000000
Binance,Binance App,neutral,"Binance App no sirve para nada, Binance debería hacer recall ya.",2025-04-16 05:00:00,binance app no sirve para nada binance debera hacer recall ya,binance app sirve para nada binance debera hacer recall ya,0.0,2025-04-16T05:00:00.000000,2025-04-16T05:00:00.000000
Coinbase,Wallet,neutral,Probando el Wallet de Coinbase. Aún no sé qué pensar.,2025-04-18 05:00:00,probando el wallet de coinbase an no s qu pensar,probando el wallet de coinbase s qu pensar,0.0,2025-04-18T05:00:00.000000,2025-04-18T05:00:00.000000
Meta,Instagram,neutral,Otro día más batallando con Instagram de Meta.,2025-04-17 17:00:00,otro da ms batallando con instagram de meta,otro da ms batallando con instagram de meta,0.0,2025-04-17T17:00:00.000000,2025-04-17T17:00:00.000000
Nvidia,CUDA Toolkit,neutral,He tenido más problemas que beneficios con el CUDA Toolkit de Nvidia.,2025-04-17 18:00:00,he tenido ms problemas que beneficios con el cuda toolkit de nvidia,tenido ms problemas que beneficios con el cuda toolkit de nvidia,0.0,2025-04-17T18:00:00.000000,2025-04-17T18:00:00.000000
Meta,Threads,neutral,"Threads cumple con lo básico. Nada sorprendente, pero funciona.",2025-04-19 05:00:00,threads cumple con lo bsico nada sorprendente pero funciona,thread cumple con lo bsico nada sorprendente pero funciona,0.0,2025-04-19T05:00:00.000000,2025-04-19T05:00:00.000000
Tesla,Model Y,neutral,El soporte de Tesla no resolvió nada con mi Model Y. 🤬,2025-04-17 09:00:00,el soporte de tesla no resolvi nada con mi model y,el soporte de tesla resolvi nada con mi model y,0.0,2025-04-17T09:00:00.000000,2025-04-17T09:00:00.000000
Nike,Jordan Retro,negativo,No entiendo el hype con el Jordan Retro de Nike. Meh.,2025-04-18 00:00:00,no entiendo el hype con el jordan retro de nike meh,entiendo el hype con el jordan retro de nike meh,-0.0772,2025-04-18T00:00:00.000000,2025-04-18T00:00:00.000000
Nike,Nike App,neutral,"Nike App cumple con lo básico. Nada sorprendente, pero funciona.",2025-04-16 09:00:00,nike app cumple con lo bsico nada sorprendente pero funciona,nike app cumple con lo bsico nada sorprendente pero funciona,0.0,2025-04-16T09:00:00.000000,2025-04-16T09:00:00.000000
Nike,Jordan Retro,neutral,¡Amo mi nuevo Jordan Retro de Nike! 🥳,2025-04-18 12:00:00,amo mi nuevo jordan retro de nike,amo mi nuevo jordan retro de nike,0.0,2025-04-18T12:00:00.000000,2025-04-18T12:00:00.000000
Nvidia,GeForce NOW,neutral,El servicio de Nvidia con GeForce NOW fue impecable. 10/10 ⭐,2025-04-18 20:00:00,el servicio de nvidia con geforce now fue impecable 1010,el servicio de nvidia con geforce fue impecable,0.0,2025-04-18T20:00:00.000000,2025-04-18T20:00:00.000000
Meta,Threads,neutral,El Threads de Meta es... aceptable.,2025-04-20 02:00:00,el threads de meta es aceptable,el threads de meta es aceptable,0.0,2025-04-20T02:00:00.000000,2025-04-20T02:00:00.000000
Nvidia,CUDA Toolkit,neutral,He tenido más problemas que beneficios con el CUDA Toolkit de Nvidia.,2025-04-17 21:00:00,he tenido ms problemas que beneficios con el cuda toolkit de nvidia,tenido ms problemas que beneficios con el cuda toolkit de nvidia,0.0,2025-04-17T21:00:00.000000,2025-04-17T21:00:00.000000
Meta,Instagram,neutral,Meta lanzó el nuevo Instagram. Alguien ya lo probó?,2025-04-17 23:00:00,meta lanz el nuevo instagram alguien ya lo prob,meta lanz el nuevo instagram alguien ya lo prob,0.0,2025-04-17T23:00:00.000000,2025-04-17T23:00:00.000000
Coinbase,Earn,neutral,No puedo creer lo bien que funciona el Earn de Coinbase. Recomendado. 💯,2025-04-18 13:00:00,no puedo creer lo bien que funciona el earn de coinbase recomendado,puedo creer lo bien que funciona el earn de coinbase recomendado,0.0,2025-04-18T13:00:00.000000,2025-04-18T13:00:00.000000
Binance,Smart Chain,positivo,No tengo quejas ni elogios del Smart Chain de Binance.,2025-04-15 20:00:00,no tengo quejas ni elogios del smart chain de binance,tengo quejas ni elogios del smart chain de binance,0.4019,2025-04-15T20:00:00.000000,2025-04-15T20:00:00.000000
Binance,Launchpad,neutral,¡Amo mi nuevo Launchpad de Binance! 🥳,2025-04-15 14:00:00,amo mi nuevo launchpad de binance,amo mi nuevo launchpad de binance,0.0,2025-04-15T14:00:00.000000,2025-04-15T14:00:00.000000
Coinbase,NFT platform,positivo,"NFT platform me ha cambiado la vida. Gracias, Coinbase. ❤️",2025-04-18 07:00:00,nft platform me ha cambiado la vida gracias coinbase,nft platform ha cambiado la vida gracias coinbase,0.34,2025-04-18T07:00:00.000000,2025-04-18T07:00:00.000000
Meta,Facebook Ads,neutral,No tengo quejas ni elogios del Facebook Ads de Meta.,2025-04-18 03:00:00,no tengo quejas ni elogios del facebook ads de meta,tengo quejas ni elogios del facebook ad de meta,0.0,2025-04-18T03:00:00.000000,2025-04-18T03:00:00.000000
Nvidia,RTX 4090,neutral,El RTX 4090 de Nvidia es... aceptable.,2025-04-20 05:00:00,el rtx 4090 de nvidia es aceptable,el rtx de nvidia es aceptable,0.0,2025-04-20T05:00:00.000000,2025-04-20T05:00:00.000000
Coinbase,Earn,neutral,Parece estable el Earn de Coinbase. Veremos con el tiempo.,2025-04-17 20:00:00,parece estable el earn de coinbase veremos con el tiempo,parece estable el earn de coinbase veremos con el tiempo,0.0,2025-04-17T20:00:00.000000,2025-04-17T20:00:00.000000
Coinbase,Wallet,neutral,Vi muchas reseñas del Wallet de Coinbase. Opiniones divididas.,2025-04-17 11:00:00,vi muchas reseas del wallet de coinbase opiniones divididas,vi muchas reseas del wallet de coinbase opinione dividida,0.0,2025-04-17T11:00:00.000000,2025-04-17T11:00:00.000000
Nike,Nike Run Club,negativo,No entiendo el hype con el Nike Run Club de Nike. Meh.,2025-04-20 04:00:00,no entiendo el hype con el nike run club de nike meh,entiendo el hype con el nike run club de nike meh,-0.0772,2025-04-20T04:00:00.000000,2025-04-20T04:00:00.000000
Binance,Binance App,neutral,Muy satisfecho con Binance App de Binance. No esperaba menos.,2025-04-19 00:00:00,muy satisfecho con binance app de binance no esperaba menos,muy satisfecho con binance app de binance esperaba menos,0.0,2025-04-19T00:00:00.000000,2025-04-19T00:00:00.000000
Coinbase,Coinbase Pro,neutral,"Interesante propuesta con Coinbase Pro de Coinbase, veremos cómo evoluciona.",2025-04-15 14:00:00,interesante propuesta con coinbase pro de coinbase veremos cmo evoluciona,interesante propuesta con coinbase pro de coinbase veremos cmo evoluciona,0.0,2025-04-15T14:00:00.000000,2025-04-15T14:00:00.000000
